Email,Full name,Age,Gender,Low-So,Medical Condition,How often do you consume outside food?,Do you monitor salt intake?,Have you used any smart spoon?,Are you willing to try one?,Would you recommend it?,How important is taste in your meals?,What feature would you prefer?,Do you use any suggestions for reducing salt?,Any suggestions/comments?,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10
omartin@martinez.com,April Wilson,27,Male,No,No,Weekly,Sometimes,Maybe,Maybe,Maybe,Very Important,Automated,No,Service free life find democratic happen list benefit.,N/A,N/A,1/2 tsp,N/A,Too Salty,N/A,1/4 tsp,1/4 tsp,More than 1 tsp,Too Salty
kmoore@hotmail.com,Jane Hall,29,Female,Yes,No,Rarely,Sometimes,Yes,No,Maybe,Very Important,Automated,No,His have decision friend director green control total perform.,1/2 tsp,Too Bland,N/A,Perfect,N/A,Too Salty,Too Salty,Perfect,1/4 tsp,More than 1 tsp
cperry@gmail.com,Lisa Smith,62,Female,No,No,Rarely,Never,Maybe,No,Yes,Neutral,Mobile App,Yes,Draw imagine necessary look be take like interesting imagine Congress.,1/2 tsp,N/A,Too Salty,More than 1 tsp,Perfect,More than 1 tsp,More than 1 tsp,Too Salty,1/4 tsp,Perfect
mweaver@williams.biz,Alan Hansen,34,Other,No,Yes,Daily,Always,Maybe,Yes,Maybe,Not Important,Voice Control,No,Not material indeed dinner probably assume key dream budget shoulder coach.,More than 1 tsp,Too Salty,N/A,1/2 tsp,N/A,More than 1 tsp,Too Bland,N/A,More than 1 tsp,1/2 tsp
hcherry@hart.net,Glenn Oneill,63,Other,Yes,Yes,Weekly,Always,Maybe,No,No,Very Important,Mobile App,Yes,Among night represent behavior ever truth.,Perfect,1/4 tsp,More than 1 tsp,Perfect,Too Salty,N/A,Too Bland,N/A,1/4 tsp,1/4 tsp
zowens@gray.com,Ashley Wright,27,Male,No,Yes,Not applicable,Always,No,Maybe,No,Very Important,Mobile App,Yes,Guess north career think job.,N/A,Too Bland,N/A,Too Salty,1/2 tsp,Too Salty,Perfect,1/2 tsp,Too Bland,Too Salty
jessicawoods@yahoo.com,Mary Winters,29,Male,Yes,Yes,Daily,Always,Maybe,No,Maybe,Important,Automated,No,Force everyone personal computer upon.,More than 1 tsp,Too Bland,Too Salty,Too Bland,Perfect,Too Bland,More than 1 tsp,1/4 tsp,Too Salty,Perfect
dawnnorton@hotmail.com,Cristina Rodriguez,44,Male,No,Yes,Rarely,Sometimes,Yes,Yes,Maybe,Very Important,Automated,Yes,Together seem from health firm against training today.,More than 1 tsp,Too Salty,1/4 tsp,More than 1 tsp,Too Salty,N/A,1/2 tsp,Too Bland,1/4 tsp,Perfect
kwood@gaines.com,David Bell,55,Other,No,No,Weekly,Never,No,No,No,Important,Mobile App,Yes,Treat air onto sure star something.,1/2 tsp,Too Bland,1/4 tsp,Too Salty,Too Bland,N/A,1/4 tsp,Too Bland,More than 1 tsp,N/A
rodgersclifford@yahoo.com,Vincent Ramsey,21,Female,Yes,No,Not applicable,Never,Maybe,Yes,Maybe,Neutral,Voice Control,No,According soldier toward major coach for physical whose network act above.,1/4 tsp,1/4 tsp,1/4 tsp,Too Salty,Too Salty,Perfect,Too Bland,Too Bland,N/A,Too Salty
ndiaz@taylor.com,Jeffrey Fischer,40,Female,No,No,Monthly,Sometimes,Yes,Maybe,Yes,Not Important,Automated,Yes,Establish that key thought away wide none figure name TV.,More than 1 tsp,More than 1 tsp,Too Salty,Too Salty,1/4 tsp,N/A,1/4 tsp,Too Salty,1/4 tsp,1/4 tsp
markenglish@castillo.org,Brittney Steele,18,Other,No,No,Weekly,Sometimes,Maybe,Maybe,No,Neutral,Mobile App,Yes,Skin expert over our gas.,More than 1 tsp,1/2 tsp,1/2 tsp,Too Salty,1/4 tsp,Too Bland,Too Salty,More than 1 tsp,1/2 tsp,1/2 tsp
wosborne@hotmail.com,Paul Phillips,29,Female,Yes,Yes,Daily,Always,Yes,Yes,Maybe,Important,Automated,No,Never better TV stand everything brother develop notice evidence their.,Perfect,Perfect,N/A,Too Salty,1/4 tsp,Too Bland,1/2 tsp,1/4 tsp,Too Salty,1/2 tsp
danasimpson@curry.com,Richard Stephens,56,Other,No,No,Daily,Always,Yes,No,Maybe,Important,Automated,Yes,Fight show use at talk brother.,Too Bland,1/2 tsp,N/A,Too Bland,1/4 tsp,Too Salty,Too Bland,N/A,N/A,Too Salty
tiffanymelton@hanson.net,Maria Brown,51,Female,No,Yes,Weekly,Never,Yes,No,Yes,Neutral,Automated,No,Write left family two personal easy nothing step.,Too Bland,Perfect,Perfect,N/A,Too Bland,N/A,1/4 tsp,1/2 tsp,1/2 tsp,Perfect
bishopvictoria@smith-perry.net,Cassie Gordon,58,Other,Yes,No,Not applicable,Sometimes,No,Maybe,No,Very Important,Simple UI,No,Race particular yard other oil civil perform natural item short.,Perfect,Too Bland,Perfect,Too Salty,1/2 tsp,More than 1 tsp,More than 1 tsp,N/A,1/4 tsp,More than 1 tsp
sarah55@hotmail.com,Whitney Green,58,Male,No,Yes,Daily,Always,Yes,Yes,No,Important,Simple UI,Yes,Artist many heart decade simple carry traditional production.,1/2 tsp,1/2 tsp,Too Bland,1/4 tsp,N/A,Too Salty,Too Salty,Too Bland,Perfect,More than 1 tsp
